,Ghost_Size,Eligible_Size,Live_Size,Opt_Exp_Return,Opt_Exp_Variance,Effective_Gross_Exposure,Mean_Innovation_Z,Mean_CUSUM_S_t,Vol_Ratio,Mean_LinUCB_Gate,rebalanced,Live_Realized_Return,Ghost_Realized_Return,Eligible_Realized_Return
2025-11-10,15.0,3.0,3.0,0.45191607064424877,0.003275346402088008,0.45191607064424877,2.7452498634998173,0.0,1.0826786573328449,2.0233333333333334,1,0.0016647026825489242,-0.023250408578035398,-0.12739362152408662
2025-11-11,16.0,2.0,2.0,0.31692709655284734,0.0009180534859117552,0.31692709655284734,2.6720481428546043,0.0,1.1408645817584624,2.109375,1,0.001218872632565704,0.00766527012928675,-0.007494860064555464
2025-11-12,15.0,3.0,3.0,0.5531587562908878,0.003903487694235897,0.5531587562908878,2.9032033488396056,0.0,0.9561811643856577,2.2,1,0.0008592347211153761,-0.01883093413288839,0.10597334245113643
2025-11-13,16.0,2.0,2.0,0.5,0.003552259761751678,0.5,2.881002345491493,0.0,0.9435794916088597,2.203125,1,-0.0006561441373587051,0.049407861935081954,-0.08855845378874327
2025-11-14,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2567739166014138,2.0892857142857144,1,-0.0010441550741759897,-0.02242205069487979,-0.13195278487580642
2025-11-17,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2567739166014138,2.0892857142857144,0,-0.001668550696765858,0.020298773911568757,0.16820804647483767
2025-11-18,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2567739166014138,2.0892857142857144,0,0.0,-0.010626685668113312,0.043693278081502473
2025-11-19,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2567739166014138,2.0892857142857144,0,0.0,-0.014837861014408094,0.18471074863293957
2025-11-20,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2567739166014138,2.0892857142857144,0,0.0,0.029307898937882104,0.12799733156413584
2025-11-21,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2567739166014138,2.0892857142857144,0,0.0,0.0007636996845465926,-0.08295506193995672
2025-11-24,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2567739166014138,2.0892857142857144,0,0.0,-0.04741182680761491,0.04357157670752665
